STATION_ID,OBTAINED_DATE,SURFACE_TEMP,SURFACE_CONDITION
RTOI4,1/1/2019 0:10,32.9,Wet
RTOI4,1/1/2019 0:30,32.72,Wet
RTOI4,1/1/2019 1:10,32.54,Wet
RTOI4,1/1/2019 1:20,32,Wet
RTOI4,1/1/2019 3:30,29.12,Ice Watch
RTOI4,1/1/2019 4:50,27.14,Ice Watch
RTOI4,1/1/2019 5:10,26.6,Ice Watch
RTOI4,1/1/2019 8:10,23.18,Dry
RTOI4,1/1/2019 8:30,23,Dry
RTOI4,1/1/2019 8:50,22.64,Dry
RTOI4,1/1/2019 9:30,22.1,Dry
RTOI4,1/1/2019 10:00,21.74,Dry
RTOI4,1/1/2019 11:20,20.12,Dry
RTOI4,1/1/2019 11:40,19.76,Dry
RTOI4,1/1/2019 12:30,19.22,Dry
RTOI4,1/1/2019 12:50,19.04,Dry
RTOI4,1/1/2019 15:20,20.12,Dry
RTOI4,1/1/2019 16:10,22.28,Dry
RTOI4,1/1/2019 17:30,26.06,Dry
RTOI4,1/1/2019 19:40,32.54,Dry
RTOI4,1/1/2019 20:00,32.18,Dry
RTOI4,1/1/2019 23:20,22.28,Dry
RTOI4,1/2/2019 1:10,19.58,Dry
RTOI4,1/2/2019 2:10,18.14,Dry
RTOI4,1/2/2019 3:50,19.58,Dry
RTOI4,1/2/2019 4:00,19.76,Dry
RTOI4,1/2/2019 4:20,20.12,Dry
RTOI4,1/2/2019 7:00,21.02,Dry
RTOI4,1/2/2019 10:30,21.56,Dry
RTOI4,1/2/2019 11:00,21.38,Dry
RTOI4,1/2/2019 14:40,22.64,Dry
RTOI4,1/2/2019 18:30,41.36,Dry
RTOI4,1/2/2019 23:10,31.1,Dry
RTOI4,1/3/2019 1:40,26.42,Dry
RTOI4,1/3/2019 2:10,26.06,Dry
RTOI4,1/3/2019 6:10,23.18,Ice Watch
RTOI4,1/3/2019 6:40,22.64,Ice Watch
RTOI4,1/3/2019 7:10,22.28,Ice Watch
RTOI4,1/3/2019 9:20,20.84,Ice Watch
RTOI4,1/3/2019 9:30,20.84,Ice Watch
RTOI4,1/3/2019 9:40,20.84,Ice Watch
