X,Y,OBJECTID,UNIQUE_ID,SITE_NUMBER,SURFACE_CONDITION,SURFACE_CONDITION_NO,SURFACE_TEMP
-92.4592,43.067167,8,5120330,512033,Ice Watch,2.8,20.30
-95.7834,40.6895,22,5120390,512039,Ice Warning,1.8,31.30
-93.571,41.778,25,5120660,512066,Trace Moisture,7.6,29.70
-93.5222,41.659667,33,5120031,512003,Chemically Wet,4.2,27.00
-92.8725,41.390167,48,5120370,512037,Ice Watch,2.6,28.20
-95.0888,43.126833,56,5120420,512042,Chemically Wet,3.5,18.00
-91.6838,41.93,71,5120102,512010,Ice Warning,1.5,25.20
-90.6777,41.602333,78,5120143,512014,Chemically Wet,4.1,26.40
-94.1835,42.446333,88,5120210,512021,Dry,8.4,21.60
-93.5315,42.5875,106,5120471,512047,Ice Warning,0.8,17.10
-91.335695,42.071186,114,5120522,512052,Ice Watch,3.2,25.50
-92.062,40.6578,123,5120591,512059,Ice Warning,1.6,27.90
-94.67,42.4501,124,5120630,512063,Ice Warning,1.2,20.70
-94.67,42.4501,125,5120631,512063,Ice Warning,1.4,22.30
-94.9838,40.98,139,5120381,512038,Wet,6.7,32.40
-94.9838,40.98,140,5120382,512038,Ice Watch,3.4,31.80
-95.4783,42.3515,143,5120512,512051,Dry,8.9,27.00
-94.7808,40.6773,145,5120551,512055,Trace Moisture,8.1,32.70
-93.7741,41.5239,160,5120160,512016,Dry,9.6,31.30
-93.7741,41.5239,162,5120162,512016,Dry,9.3,28.60
-91.5812,41.6891,168,5120242,512024,Ice Watch,3.1,24.80
-93.3418,43.038,171,5120302,512030,Ice Watch,1.9,16.20
-92.4592,43.067167,173,5120331,512033,Chemically Wet,3.5,17.20
-93.5714,41.8633,188,5120681,512068,Trace Moisture,8.2,29.80
